PAIS,FORMATO,ZONA,CODIGO_FAMILIA,CATEGORY_NBR,CATEGORY_DESC,MARCA,FINELINE,N_FINELINE,N_MARCA,COST_UNIT,SELL_QTY,TOTAL_SKUS,ITEM_PRIMARIO,DESC_PRIMARIO,VENTAS_PRIMARIO,PRECIO_PRIMARIO,ROTACION_PRIMARIO,N_PRECIOS_DISTINTOS,SKUS_IGUAL_PRECIO,SKUS_DIFERENTE_PRECIO,SKUS_SIN_PRECIO,PCT_ALINEACION,OBSERVACIONES
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0055,6987,BEVERAGES - CARBONATED-D95,MILORY,BEB SABOR REGUL FAMI,1754,4206,1279.9171,3000.0,2,9500819,REFRESC GAS MILORY KOLA PET 3000ML,2938.0,1660.0,2.0,1,2,0,0,100.0,OK
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0056,6894,BEVERAGE ALCOHOL - BEER D96,BLUE MOON,CERVEZA LAGER UNIDAD,1025,43793,1048.64,355.0,1,70547858,CERVEZA BLUE MOON ARTESANAL 355ML,0,1250.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0057,6894,BEVERAGE ALCOHOL - BEER D96,ROCK ICE,CERVEZA LAGER UNIDAD,1025,5456,758.9871,350.0,3,70239564,CERVEZA LATA ROCK ICE LIMON 350 ML,6849.0,860.0,9.0,2,2,1,0,66.66666666666666,1/3 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0058,6987,BEVERAGES - CARBONATED-D95,POSTOBON,BEB SABOR LIGHT FAMI,1750,50890,1088.19,1500.0,1,75228366,GASEO POSTOBON MANZANA CERO 1500 ML,0,1430.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0059,6987,BEVERAGES - CARBONATED-D95,FANTA,BEB SABOR REGUL FAMI,1754,2238,1901.6205,3000.0,2,9539480,REFRESCO GASEOSA FANTA NARANJA 3000ML,87688.0,2500.0,49.0,1,2,0,0,100.0,OK
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0060,6987,BEVERAGES - CARBONATED-D95,CANADA DRY,BEB SABOR REGUL FAMI,1754,969,1266.3797,2000.0,2,9518158,REFRESC GAS LIGA SODA CANAD D 2000 ML,0,1760.0,,1,2,0,0,100.0,Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0061,6894,BEVERAGE ALCOHOL - BEER D96,ESTRELLA,CERVEZA ARTESANAL,1028,2142,937.335,330.0,1,70332138,CERVEZA ESTRELLA MEDITERRANEA LATA 330ML,0,810.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0062,6894,BEVERAGE ALCOHOL - BEER D96,CEZKA,CERVEZA LAGER PAQ,1000,50116,6304.9028,7920.0,1,70464111,CERVEZA CEZKA LAGER 4 ALC 24PK 7920ML,19965.0,7520.0,3.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0063,6987,BEVERAGES - CARBONATED-D95,POSTOBON,BEB SABOR REGUL FAMI,1754,50890,986.49,1500.0,2,75302245,GAS POST MANZ GD 1500 ML,0,1360.0,,2,1,1,0,50.0,Primario sin ventas registradas | 1/2 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0064,6894,BEVERAGE ALCOHOL - BEER D96,CORONA,CERVEZA LAGER UNIDAD,1025,1434,885.0273,355.0,1,70080533,CERVEZA CORONA LATA 355 ML,0,830.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0065,6894,BEVERAGE ALCOHOL - BEER D96,CARLSBERG,CERVEZA PILSENER PAQ,1250,1034,7976.67,4950.0,1,75427237,CERV CARLSBERG 15 PK HIELERA 4950 ML,0,10230.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0066,6987,BEVERAGES - CARBONATED-D95,PEPSI,BEB COLA REGUL FAMIL,1704,4907,960.5,2500.0,1,70268318,REFRESCO GASEOSO PEPSI PET 2500ML,65226.0,1000.0,74.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0067,6987,BEVERAGES - CARBONATED-D95,FRESCA,BEB SABOR REGUL FAMI,1754,2441,1337.9652,2500.0,1,70058779,GASEOSA SIN AZUCAR FRESCA 2500 ML,75373.0,1500.0,57.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0068,6894,BEVERAGE ALCOHOL - BEER D96,MILLER,CERVEZA LAGER UNIDAD,1025,4203,5217.21,2130.0,1,70493752,CERVEZA MILLER MGD BOTELL 6PACK 355ML,0,5800.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0069,6894,BEVERAGE ALCOHOL - BEER D96,BOHEMIA,CERVEZA LAGER UNIDAD,1025,788,1004.5022,710.0,1,70590328,CERVEZA BOHEMIA LATA 710ML,13351.0,1160.0,13.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0070,6894,BEVERAGE ALCOHOL - BEER D96,PERONI,CERVEZA LAGER PAQ,1000,4915,4983.3,1980.0,1,75380139,CERVEZA PERONNI 6PK 1980 ML,0,4500.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0071,6987,BEVERAGES - CARBONATED-D95,FANTA,CAJA/ENV PLAST/GASEO,1708,2238,42.94,2000.0,1,70022601,GASEOSA FANTA ENVASE NARANJA RP 2000ML,0,460.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0072,6894,BEVERAGE ALCOHOL - BEER D96,CRBF,CERVEZA ARTESANAL,1028,49285,1458.83,350.0,1,70000337,CERVE CRBF ARTESANAL ESCALANTE BOT 350ML,0,1980.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
