PAIS,Formato,ZONA,CODIGO_FAMILIA,DESC_PRIMARIO,MARCA,CATEGORIA,SKU_PRIMARIO,PRECIO_PRIMARIO,VENTAS_PRIMARIO,ROTACIONES_PRIMARIO,TOTAL_SKUS,SKUS_VALIDOS,SKUS_PACK_GRAMAJE,PRECIOS_DISTINTOS,SKUS_ALINEADOS,SKUS_NO_ALINEADOS,PCT_ALINEACION,TIENE_SKU_PRIMARIO,SKUS_SIN_PRECIO,SKUS_SIN_VENTAS,VENTAS_FAMILIA,ESTADOS_PRESENTES
CR,WALMART,SAN JOSE,75416857,LAVAPLATOS GV MANZANA CANELA 1000 G,GREAT VALUE,CLEANERS - HOUSEHOLD D13,75416857,875.0,5341.0,7.0,4,4,0,2,1,3,25.0,1,0,3,5341.0,Diferente al Primario | Igual al Primario
HN,BODEGAS,A - ROJA,75189907,JIF MANTEQUILLA MANI EXT CRUJIENTE 454GR,JIF,SWEET SPREADS&PRESERVES-D92,75189907,65.5,1930.94,34.0,4,4,0,2,1,3,25.0,1,0,0,5300.639999999999,Diferente al Primario | Igual al Primario
CR,WALMART,ALAJUELA - GAM,75273387,HELADO SULI COMBINADO 484GR,SULI,ICE CREAM AND FROZEN DESSERTS D91,75273387,1980.0,5256.0,3.0,4,4,0,4,1,3,25.0,1,0,3,5256.0,Diferente al Primario | Igual al Primario
CR,DESCUENTO,SAN JOSE,75168488,TE NEGRO FRAMBUESA LIVEAN 8GR,LIVEAN,BEVERAGES - FLAVORED-D95,75168488,100.0,0.0,0.0,4,4,0,2,1,3,25.0,1,0,2,5230.0,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,B - NARANJA,75215309,JUMEX UVA PRISMA 960ML,JUMEX,BEVERAGES - JUICES-D95,75215309,12.75,1092.48,96.0,7,7,0,2,4,3,57.14,1,0,1,5220.96,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,D - VERDE,9599204,GASEOSA CANADA DRY GINGER ALE 2000ML,CANADA DRY,BEVERAGES - CARBONATED-D95,9599204,13.0,5175.74,446.0,4,4,0,2,1,3,25.0,1,0,3,5175.74,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,E - AZUL,9525159,LECHE DOS PINOS PINITO UHT ENTERA 1000ML,DOS PINOS,MILK&CREM-SUBSTUT-SHELF-D95,9525159,16.75,3276.24,219.0,4,4,0,2,1,3,25.0,1,0,0,5154.45,Diferente al Primario | Igual al Primario
HN,WALMART,B - NARANJA,75403973,GOMITA BUBBALOO PANDITA CLASICO 52.5GR,BUBALOO,CANDY - HARD - SOFT-D82,75403973,25.0,3434.92,158.0,4,4,0,3,1,3,25.0,1,0,1,5135.15,Diferente al Primario | Igual al Primario
HN,WALMART,B - NARANJA,70311786,SHAMPOO PANTENE BAMBU 400 ML,PANTENE,HAIR CARE CONDITIONER TREAT D02,70311786,246.0,1069.55,5.0,7,7,0,2,4,3,57.14,1,0,0,5132.31,Diferente al Primario | Igual al Primario
CR,SUPERMERCADOS,GUANACASTE,70529048,CREMA JERGENS COCO HIDRATANTE 400ML,JERGENS,HAND AND BODY LOTION-OIL-CRM D46,70529048,5780.0,0.0,0.0,5,5,0,2,2,3,40.0,1,0,4,5115.0,Diferente al Primario | Igual al Primario
GT,WALMART,D - VERDE,75459249,ELVIVE HIDRA HIALURONICO PUREACO 370ML,ELVIVE,HAIR CARE CONDITIONER TREAT D02,75459249,54.0,1286.72,27.0,5,5,0,3,2,3,40.0,1,0,0,5053.75,Diferente al Primario | Igual al Primario
HN,SUPERMERCADOS,A - ROJA,70643696,CLORO MAGIA BLANCA REGULAR BT 3785ML,MAGIA BLANCA,BLEACH D13,70643696,84.7,3456.53,41.0,6,6,0,2,3,3,50.0,1,0,3,5050.43,Diferente al Primario | Igual al Primario
HN,WALMART,C - AMARILLA,70047794,BATERIA ALCALINA RAYOVAC 9 VOLT 1U,RAYOVAC,BATTERIES & ACCESSORIES-D82,70047794,108.9,5009.4,46.0,6,6,0,3,3,3,50.0,1,0,5,5009.4,Diferente al Primario | Igual al Primario
GT,WALMART,D - VERDE,70516243,SNACK GREAT VALUE PAPA ORIGINAL 226 GR,GREAT VALUE,CHIPS-CRISPS SNACK MIXS-D92,70516243,22.75,2088.0,103.0,4,4,0,3,1,3,25.0,1,0,0,4990.990000000001,Diferente al Primario | Igual al Primario
GT,BODEGAS,C - AMARILLA,70575462,DEO LADY SS SPRAY OMEGA 3 150ML,LADY SPEED STICK,DEODORANTS Y ANTIPERSPIRANT D02,70575462,25.25,0.0,0.0,7,7,0,3,4,3,57.14,1,0,2,4969.07,Diferente al Primario | Igual al Primario
HN,BODEGAS,B - NARANJA,70361981,YOGURT YES LIQUIDO FRESA 200 ML,YES,YOGURT D90,70361981,23.0,1800.0,90.0,6,6,0,2,3,3,50.0,1,0,0,4968.38,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,D - VERDE,75409981,SAN PELLEG AGUA CARBONA NARROJA 330ML,SAN PELLEGRINO,BEVERAGES - WATER-D95,75409981,13.0,965.27,84.0,11,11,0,3,8,3,72.73,1,0,3,4966.8,Diferente al Primario | Igual al Primario
HN,BODEGAS,D - VERDE,70361981,YOGURT YES LIQUIDO FRESA 200 ML,YES,YOGURT D90,70361981,25.0,954.39,44.0,6,6,0,2,3,3,50.0,1,0,0,4966.25,Diferente al Primario | Igual al Primario
CR,BODEGAS,PACIFICO CENTRAL,75302697,AMBIE LA CASA AROMA F ROJOS 30 ML,LA CASA DE LOS AROMA,AIR FRESHNR & DEODORIZE-D13,75302697,2800.0,4956.0,2.0,5,5,0,4,2,3,40.0,1,0,4,4956.0,Diferente al Primario | Igual al Primario
GT,WALMART,D - VERDE,75188603,DEO AXE AERO FR BLUE LAVEND MEN 150ML,AXE,DEODORANTS Y ANTIPERSPIRANT D02,75188603,36.0,803.5,25.0,5,5,0,4,2,3,40.0,1,0,0,4939.860000000001,Diferente al Primario | Igual al Primario
GT,BODEGAS,C - AMARILLA,70414454,DEO SS SPRAY EXTREME BONUS 113GR,SPEED STICK,DEODORANTS Y ANTIPERSPIRANT D02,70414454,26.25,2297.12,98.0,4,4,0,2,1,3,25.0,1,0,0,4921.01,Diferente al Primario | Igual al Primario
HN,SUPERMERCADOS,C - AMARILLA,75125921,TAJADAS PRO PLATANO MADURO SALADO 140GR,PRO,CHIPS-CRISPS SNACK MIXS-D92,75125921,33.8,4890.49,167.0,4,4,0,2,1,3,25.0,1,0,3,4890.49,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,D - VERDE,70447572,BEB HIDRATAN GATORADE FRUIT PUNCH 1000ML,GATORADE,BEVERAGE-HYDRATE&ENERGY-D95,70447572,10.5,2684.54,287.0,5,5,0,2,2,3,40.0,1,0,3,4888.9400000000005,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,D - VERDE,75138863,NH BEBI ALMENDRA VAINILLA SIN AZUCAR 1LT,NATURE'S HEART,MILK&CREM-SUBSTUT-SHELF-D95,75138863,21.25,1059.93,60.0,4,4,0,3,1,3,25.0,1,0,0,4883.04,Diferente al Primario | Igual al Primario
HN,WALMART,A - ROJA,70282930,BOLSA CLARITA EUROPLAST 7X14 76UNID,CLARITA,BAGS AND WRAPS D04,70282930,28.5,1214.22,49.0,4,4,0,2,1,3,25.0,1,0,0,4870.78,Diferente al Primario | Igual al Primario
GT,BODEGAS,B - NARANJA,70396479,RON XL MANZANA Y LIMON 750ML,XL,BEVERAGE ALCOHOL - SPIRITS D96,70396479,60.4,1078.6,20.0,6,6,0,3,3,3,50.0,1,0,0,4857.9400000000005,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,D - VERDE,75150908,PONDS AGE MIRACLE CREMA DIA 50GR,POND'S,FACIAL CARE D46,75150908,104.5,1866.0,20.0,4,4,0,4,1,3,25.0,1,0,0,4838.24,Diferente al Primario | Igual al Primario
GT,WALMART,B - NARANJA,70414454,DEO SS SPRAY EXTREME BONUS 113GR,SPEED STICK,DEODORANTS Y ANTIPERSPIRANT D02,70414454,25.25,2880.69,128.0,4,4,0,2,1,3,25.0,1,0,0,4820.81,Diferente al Primario | Igual al Primario
NI,BODEGAS,C - AMARILLA,70435180,JABON PALMOLIVE SHOWERGEL NAT PITA 390ML,PALMOLIVE,HAND AND BODY WASHING D02,70435180,120.0,2087.0,20.0,4,4,0,3,1,3,25.0,1,0,0,4803.4,Diferente al Primario | Igual al Primario
CR,WALMART,HEREDIA - GAM,75385725,SKITTLE BEBIDA TROPICAL 414 ML,SKITTLES,BEVERAGE-HYDRATE&ENERGY-D95,75385725,1000.0,885.0,1.0,4,4,0,2,1,3,25.0,1,0,1,4801.0,Diferente al Primario | Igual al Primario
