PAIS,Formato,ZONA,CODIGO_FAMILIA,DESC_PRIMARIO,SKU_PRIMARIO,PRECIO_PRIMARIO,TAMANO_PRIMARIO,MEDIDA_PRIMARIO,SKU_SECUNDARIO,AGRUPACION,DESC_SECUNDARIO,PRECIO_SECUNDARIO,TAMANO_SECUNDARIO,MEDIDA_SECUNDARIO,FACTOR_DE_CONVERSION,AHORRO_DIFERENCIAL,DIFERENCIA_ABSOLUTA,DIFERENCIA_PCT,EVALUACION,Ventas,Rotaciones,Sell_QTY,CATEGORIA,MARCA
CR,WALMART,PE GENERAL OESTE,75202236,POLL ROSTIZADO BBQ MARKETSIDE UND,75202236,3800.0,1.0,EA,75288386,SECUNDARIO,POLLO ROSTI HIERBAS MARKETSID UND,4940.0,1.0,EA,1.3,1.0,1140.0,30.0,Mayor al primario - Esperado para pack,3810350.0,1023.95,1.0,PREPARED FOOD -MEAT-SEAFOOD D39,MARKETSIDE
CR,BODEGAS,SAN JOSE,9514981,DOS PINOS LECHE EN POLVO PINITO 400GR,9514981,3050.0,400.0,GR,75171033,SECUNDARIO,LECHE POLVO PINITO 3 PACK 1200GR,6200.0,1200.0,GR,3.0,0.66,3150.0,103.28,Mayor al primario - Esperado para pack,3732152.0,613.0,1200.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,CARTAGO,75053384,ATUN SULI TROCITOS  VEGETALES 4PK 560 GR,75053384,1400.0,560.0,GR,75053385,SECUNDARIO,ATUN SULI TROCITOS VEGETALES 6PK 840 GR,2910.0,840.0,GR,1.5,0.92,1510.0,107.86,Mayor al primario - Esperado para pack,3714893.0,1293.0,840.0,SEAFOOD-FISH-D92,SULI
CR,BODEGAS,SAN JOSE,9216954,ACEITE SOYA SABEMAS BOTE 3000 ML,9216954,3500.0,3000.0,ML,70172828,SECUNDARIO,ACEITE SABEMAS SOYA 900 ML,800.0,900.0,ML,0.3,1.07062665850173,-2700.0,-77.14,REVISAR: Precio menor al primario,3707647.0,4698.0,900.0,OILS & FATS-D92,SABEMAS
CR,DESCUENTO,PE HEREDIA GAM,70055293,MOLIDA ESPECIAL RES MAGRA 85 GRASA 15 KG,70055293,3250.0,1.0,KG,70498829,SECUNDARIO,MOLIDA ESPECIAL 85 MAGRA 15 GRASA 500G,1700.0,500.0,GR,0.5,1.0,-1550.0,-47.69,REVISAR: Precio menor al primario,3684816.0,2854.0,500.0,BEEF -D93,DON CRISTOBAL
CR,DESCUENTO,CARTAGO,9216954,ACEITE SOYA SABEMAS BOTE 3000 ML,9216954,3500.0,3000.0,ML,70279560,SECUNDARIO,SABEMAS ACEITE  SOYA 1500 ML,1670.0,1500.0,ML,0.5,1.05,-1830.0,-52.29,REVISAR: Precio menor al primario,3628276.0,2206.0,1500.0,OILS & FATS-D92,SABEMAS
CR,DESCUENTO,SAN JOSE,70568303,LECHE LIQ DOS PINOS PINITO TB 1L,70568303,1150.0,1000.0,ML,70050505,SECUNDARIO,LECHE DOS PINOS PINITO LIQ 2PACK 1L,1730.0,2000.0,ML,2.0,0.75,580.0,50.43,Mayor al primario - Esperado para pack,3537994.0,2070.0,2000.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,WALMART,SAN JOSE,70568303,LECHE LIQ DOS PINOS PINITO TB 1L,70568303,1150.0,1000.0,ML,70050505,SECUNDARIO,LECHE DOS PINOS PINITO LIQ 2PACK 1L,1800.0,2000.0,ML,2.0,0.75,650.0,56.52,Mayor al primario - Esperado para pack,3519814.0,1980.0,2000.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,WALMART,PE GENERAL OESTE,70185463,PAPA KG SEGUNDA CALIDAD ORIG COSTA RICA,70185463,640.0,1.0,KG,70185440,SECUNDARIO,PAPA EMPACADO MALLA 2 KG,1240.0,2.0,EA,1.94,1.0,600.0,93.75,Mayor al primario - Esperado para pack,3486449.0,2728.0,2.0,VEGETABLES - PERISHABLE D94,HORTIFRUTI
CR,BODEGAS,ALAJUELA - GAM,9514981,DOS PINOS LECHE EN POLVO PINITO 400GR,9514981,3000.0,400.0,GR,75171033,SECUNDARIO,LECHE POLVO PINITO 3 PACK 1200GR,5940.0,1200.0,GR,3.0,0.66,2940.0,98.0,Mayor al primario - Esperado para pack,3432942.0,587.0,1200.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
